commodity_code,commodity_name,commodity_group,hs_code,unit_of_measure
CRD_BRT,Brent Crude,CRUDE_OIL,2709.00,BBL
CRD_WTI,WTI Crude,CRUDE_OIL,2709.00,BBL
CRD_DUB,Dubai Crude,CRUDE_OIL,2709.00,BBL
CRD_URAL,Urals Crude,CRUDE_OIL,2709.00,BBL
CRD_MURB,Murban Crude,CRUDE_OIL,2709.00,BBL
PRD_ULSD,Ultra Low Sulphur Diesel,REFINED_PRODUCTS,2710.19,MT
PRD_JET,Jet Fuel A1,REFINED_PRODUCTS,2710.19,MT
PRD_MOGAS,Motor Gasoline,REFINED_PRODUCTS,2710.12,MT
PRD_NAPH,Naphtha,REFINED_PRODUCTS,2710.12,MT
PRD_FUEL,Fuel Oil 380cst,REFINED_PRODUCTS,2710.19,MT
PRD_VLSFO,VLSFO 0.5%,REFINED_PRODUCTS,2710.19,MT
LNG_SPOT,LNG Spot,LNG,2711.11,MMBTU
LNG_JKM,LNG JKM,LNG,2711.11,MMBTU
LNG_NBP,LNG NBP,LNG,2711.21,THERM
LPG_PROP,Propane,LPG,2711.12,MT
LPG_BUTA,Butane,LPG,2711.13,MT
MET_ALUM,Aluminium,METALS,7601.10,MT
MET_COPP,Copper,METALS,7403.11,MT
MET_NICK,Nickel,METALS,7502.10,MT
MET_ZINC,Zinc,METALS,7901.11,MT
MET_LEAD,Lead,METALS,7801.10,MT
MET_TIN,Tin,METALS,8001.10,MT
MET_IRON,Iron Ore,METALS,2601.11,DMT
MET_GOLD,Gold,PRECIOUS_METALS,7108.12,TOZ
MET_SILV,Silver,PRECIOUS_METALS,7106.91,TOZ
MET_PLAT,Platinum,PRECIOUS_METALS,7110.11,TOZ
AGR_WHEAT,Wheat,AGRICULTURE,1001.99,MT
AGR_CORN,Corn/Maize,AGRICULTURE,1005.90,MT
AGR_SOYB,Soybeans,AGRICULTURE,1201.90,MT
AGR_PALM,Palm Oil,AGRICULTURE,1511.10,MT
AGR_SUGAR,Raw Sugar,AGRICULTURE,1701.14,MT
AGR_COFFE,Coffee Arabica,AGRICULTURE,0901.11,MT
AGR_COCOA,Cocoa Beans,AGRICULTURE,1801.00,MT
AGR_RICE,Rice,AGRICULTURE,1006.30,MT
AGR_COTT,Cotton,AGRICULTURE,5201.00,MT
CLG_THER,Thermal Coal,COAL,2701.19,MT
CLG_COOK,Coking Coal,COAL,2701.12,MT
CLG_PCI,PCI Coal,COAL,2701.12,MT
CHM_ETH,Ethylene,PETROCHEMICALS,2901.21,MT
CHM_PROP,Propylene,PETROCHEMICALS,2901.22,MT
CHM_BENZ,Benzene,PETROCHEMICALS,2902.20,MT
CHM_METH,Methanol,PETROCHEMICALS,2905.11,MT
CHM_UREA,Urea,FERTILIZERS,3102.10,MT
CHM_DAP,DAP Fertilizer,FERTILIZERS,3105.30,MT
